"","Variant","nstudy","mu_guess","sig_guess","muL_changeFromWTL_Var","sigL_changeFromWTL_Var","exitflag","negloglikelihood","n","Q1lower","Q4upper","Q1cut_changeFromWTL_Var","Q4cut_changeFromWTL_Var","seL_changeFromWTL_Var","lower95L","upper95L"
"1","B.1.1.7",9,-0.204573810842342,0.316379778931875,-0.209368292172774,0.322113639462243,1,133.52560943679,451,NA,NA,-0.014105281,-0.41575468,0.0151677388942926,-0.239097060405587,-0.17963952393996
"2","B.1.351",9,-0.855515351897196,0.382025064220851,-0.94518398292826,0.432531731435139,1,236.596132435188,391,NA,NA,-0.636829846,-1.1343555375,0.0218740698712464,-0.988057159875903,-0.902310805980617
"3","B.1.617.1",1,-0.815171570090909,0.198334364789993,-0.842369157649221,0.215945878600267,2,-1.17056500850588,49,NA,NA,-0.718243423,-0.926856709336019,0.0308494112286096,-0.902834003657296,-0.781904311641146
"4","B.1.617.2",3,-0.570736211840426,0.356376894188983,-0.59352464475828,0.37558115130046,1,90.5234703245591,199,NA,NA,-0.3487989495,-0.802990491,0.0266242419112288,-0.645708158904289,-0.541341130612272
"5","P.1",3,-0.543366273121019,0.356318576277061,-0.549668151956709,0.36883459861673,1,71.4172701621581,164,NA,NA,-0.3066173285,-0.70334894,0.0288011433903244,-0.606118393001745,-0.493217910911673
